*** Chapter 5 (/course/1296376/troika-all-vocab/5/)	
горá	mountain
гóрод	city
зали́в	gulf
кáрта	map
континéнт	continent
мир	world
мóре	sea
óзеро	lake
океáн	ocean
óстров	island
полуóстров	peninsula
рекá	river
песпу́блика	republic
столи́ца	capital
странá	country
штат	state
востóк	east
зáпад	west
сéвер	north
юг	south
бéрег (на верегу́)	coast
вóздух	air
"год, гóда, лет"	"year, years"
дерéвня	"countryside, village"
жизнь (f.)	life
кли́мат	climate
клуб	club
лес	forest
лю́ди (pl.)	people
мнéние	opinion
тишинá	"quiet, silence"
факт	fact
аркти́ческий	arctic
бы́вший	former
востóчный	eastern
высóкий	tall
глубóкий	deep
дли́нный	long
зáпадный	western
корóткий	short (adj.)
ни́зкий	low (adj.)
сáмый	the most
сéверный	northern
субтропи́ческий	subtropical
чи́стый	clean (adj.)
ю́жный	southern
бóльше	"bigger, more"
вы́ше	"higher, taller (comp.)"
длиннéе	longer
глу́бже	deeper
интерéснее	more interesting
краси́вее	more beautiful
лу́чше	better
мéньше	"smaller, less"
ни́же	lower (comp.)
"старéе, стáрше (comp. of staryi)"	older (comp.)
давнó	for a long time
почему́	why
потому́ что	because
скóлько	"how much, how many"
спокóйно	(it is) peaceful
тепéрь	now
ужé	already
о	about
жить (I)	to live
Азия	Asia
Амéрика	America
Балти́йское мóре	Baltic Sea
Кавкáз	Caucasus
Кавкáзские гóры	Caucasus Mountains
Каспи́йское мóре	Caspian Sea
Ледови́тый океáн	Arctic Ocean
Москвá	Moscow
Росси́я	Russia
Санкт-Петербу́рг	St. Petersburg
Сиби́рь	Siberia
США	U.S.A
Ти́хий океáн	Pacific Ocean
Урáл	Urals
Урáльские гóры	Ural Mountains
Чёрное мóре	Black Sea
всю жизнь	all one's life
свой (possessive)	one's own
чем	than
*** Chapter 6 (/course/1296376/troika-all-vocab/6/)	
архитéктор	architect
бармéн	bartender
библиотéкар	librarian
бизнесмéн	businessman
бухгáлтер	bookkeeper
ветеринáр	veterinarian
врач	physician
дирéктор	director
домохозя́йка	housewife
домрабóтница	maid
журнали́ст	journalist
зубнóй врач	dentist
инженéр	engineer
лаборáнт	laboratory technician
матемáтик	mathematician
медсестрá/медбрáт	nurse
мéнеджер	manager
мехáник	mechanic
ня́ня	nanny
официáнт	waiter
официáнтка	waitress
перевóдчик	translator
писáтель (m.)	writer
преподавáтель (m.)	teacher
программи́ст	programmer
продавéц	salesman
продавщи́ца	saleswoman
профéссия	profession
по профéссии	by profession
секретáрь (m.)	secretary
строи́тель	construction worker
учёный	scientist
учи́тель (m.)	"teacher (elementary, secondary school)"
учи́тельница	teacher
фéрмер	farmer
фи́зик	physicist
хи́мик	chemist
"шкóль/ник, -ница"	student (in elementary and secondary school)
экономи́ст	economist
юри́ст	lawyer
бар	bar
бю́ро	bureau
дóма	at home
завóд (на)	"factory, plant"
институ́т	institute
компáния	company
лаборатóрия	laboratory
óфис	office
поликли́ника	health clinic
стрóийка (на)	construction site
фáбрика (на)	factory (light industry)
фéрма (на)	farm
фи́рма	company
центр	center
торгóвый центр	shopping center
шкóла	school (elementary and secondary)
понедéльник	Monday
втóрник	Tuesday
средá	Wednesday
четвéрг	Thursday
пя́тница	Friday
суббóта	Saturday
воскресéнье	Sunday
áдрес	address
безрабóтный	unemployed
день (m.)	day
жéнщина	woman
и́мя (pl. имена)	"name, first name"
мéсто	place
мужчи́на	man
недéля	week
óтчество	patronymic
пéнсия	pension
на пéнсия	retired
положéние	status
рабóта (на)	"job, work"
реклáма	advertisement
фами́лия	last name
час	hour
городскóй	city (adj.)
госудáрственный	"state, public (adj.)"
жéнский	"women's, female"
медици́нский	medical
музыкáльный	musical
прести́жный	prestigious (adj.)
центрáльный	central
чáстный	private
рабóтать	to work
уч|и́ться (II)	to study (at a place)
женáт	married (of a man)
зáмужем	married (of a woman)
не зáмужем	single (of a woman)
разведён	divorced
хóлост	single (of a man)
вéчером	in the evening
днём	in the afternoon
иногдá	sometimes
кáждый день	every day
когдá	when
обы́чно	usually
полови́на	half
полторá часá	one and one half hours
полчасá	half an hour
сегóдня	today
скóлько часóв	how many hours
у́тром	in the morning
и...и	both...and
ещё	still
нигдé	nowhere
ничегó	nothing
ужé	already
уже нé	not any more
*** Chapter 7 (/course/1296376/troika-all-vocab/7/)	
врéмя	time
мéсяц	month
недéля	week
переры́в	break
"раз, рáза"	time (counting)
зáвтрак	breakfast
обéд	"lunch, dinner"
у́жин	supper
веб-сáйт	website
душ	shower
заня́тие (на)	class session
кинó (indecl.)	cinema
концéрт (на)	concert
лéкция (на)	lecture
му́зыка	music
посу́да	dish(es)
посудомóечная маши́на	dishwasher
рабóта (на)	work
распоря́док дня	daily schedule
СМС	SMS (text message)
сосéд/ка по кóмнате	roommate
столóвая	cafeteria
упражнéние	exercise
урóк	lesson (homework)
фи́тнес-зал	fitness center (/room)
фи́тнес-клуб	fitness club
часы́ (pl.)	watch
кáждый	every
москóвский	Moscow (adj.)
росси́йский	Russian (adj.)
всегдá	always
ежеднéвно	every day
иногдá	sometimes
наконéц	finally
обы́чно	usually
опя́ть	again
пóздно	late
(по)пóзже	later
потóм	then
рáно	early
рáньше	earlier
рéдко	seldom
сейчáс	now
сначáла	at first
чáсто	often
бы́стро	fast
вмéсте	together
домóй	(to) home
кудá	where (to)
мéдленно	slowly
никогдá	never
никудá	(to) nowhere
нормáльно	okay
почему́	why
прекрáсно	wonderful
Во скóлько?	at what time?
вся семья́	the whole family
Котóрый час?	what time is it?
ноль (m.)	zero
по телеви́зору	on TV
по телефóну	on the telephone
Скóлько сейчáс врéмени?	What time is it?
води́ть (II)	to drive
вста|вáть (I)	to get up
готóв|ить (II)	"to prepare (dinner, etc.)"
гуля́|ть (I)	"to be out playing, walking, strolling"
дéла|ть (I)	to do
зáвтрака|ть (I)	to eat breakfast
занимá|ться (I)	"to study, to do homework"
идти́ (I)	"to go, to be going (on foot)"
лежáть (II)	to lie
ложи́ться (II)	to lie down
мыть (I)	to wash
обéда|ть (I)	to eat lunch/dinner
одевá|ться (I)	to get dressed
опáздывать (I)	to be late (for)
писáть (I)	to write
помогá|ть (I)	"to help, aid"
принимá|ть (I)	to take (e.g. a shower)
проводи́ть (II)	to spend (time)
просмáтрива|ть (I)	to browse
раздевá|ть (II)	to get undressed
сидéть (II)	to sit
слу́ша|ть (I)	to listen
смотр|éть (II)	"to watch, look"
сп|ать (II)	to sleep
стирá|ть (I)	to do laundry
сто|я́ть (II)	to stand
тренировáться (I)	"to train, exercise"
убирá|ть (I)	to clean
у́жина|ть (I)	to eat supper
умывá|ться (I)	to wash (oneself)
ход|и́ть (II)	to go
читá|ть (I)	to read
*** Chapter 8 (/course/1296376/troika-all-vocab/8/)	
балалáйка	balalaika
барабáн	drum
виолончéль (f.)	cello
гармóшка	accordion
гитáра	guitar
гобóй	oboe
кларнéт	clarinet
пиани́но	piano
роя́ль (m.)	grand piano
саксофóн	saxophone
скри́пка	violin
тромбóн	trombone
трубá	trumpet
флéйта	flute
гитари́ст/ка	guitarist
пиани́ст/ка	pianist
скрипáч/ка	violinist
флейти́ст/ка	flutist
балéт	ballet
джаз	jazz
инструмéнт	instrument
му́зыка	music
óпера	opera
оркéстр	orchestra
певéц (m.) (f. певица)	singer
пéсня	song
рок-гру́ппа	rock group
рок-му́зыка	rock music
америкáнский футбóл	football
атлéтика	athletics
аэрóбика	aerobics
баскетбóл	basketball
бег	running
бейсбóл	baseball
бодиби́лдинг	bodybuilding
бокс	boxing
волейбóл	volleyball
гимнáстика	gymnastics
гольф	golf
дáйвинг	diving
дзюдó	judo
йóга	yoga
каратэ́	karate
плáвание	swimming
тéннис	tennis
футбóл	soccer
ходьбá	walking
хоккéй	hockey
шáхматы	chess
бейсболи́ст/ка	baseball player
волейболи́ст/ка	volleyball player
вратáрь (m.)	goalkeeper
гимнáст/ка	gymnast
тенниси́ст/ка	tennis player
фигури́ст/ка	figure skater
хоккеи́ст/ка	hockey player
шахмати́ст/ка	chess player
вид спóрта	kind (category) of sport
комáнда	team
спорт	sport
шáйба	puck
балери́на	ballerina
детекти́вы (pl.)	detective novels
иску́сство	art
литерату́ра	literature
поэ́зия	poetry
скáзка	fairy tale
танцóр	dancer
фантáстика	science fiction
худóжник	"artist, painter"
баскетбóльный	basketball (adj.)
бейсбóльный	baseball (adj.)
велосипéдный	bicycle (adj.)
лы́жный	ski(ing) (adj.)
спорти́вный	sport (adj.)
футбóльный	football (adj.)
хоккéйный	hockey (adj.)
дéтский	children's
класси́ческий	classical
лёгкий	light
люби́мый	favorite
нарóдный	folk
настóльный	table (adj.)
популя́рный	popular
совремéнный	"modern, contemporary"
игрá|ть (I)	to play
люб|и́ть (II)	"to like, love"
петь (I)	to sing
рис|овá|ть (I)	to draw
танц|евá|ть (I)	to dance
бóльше	more
конéчно	of course
осóбенно	especially
*** Chapter 9 (/course/1296376/troika-all-vocab/9/)	
веснá	spring
врéмя (pl. временá)	time
врéмя гóда	season
свобóдное врéмя	"free time, leisure time"
зимá	winter
лéто	summer
óсень (f.)	"fall, autumn"
почтóвые мáрки (pl.)	stamps
матрёшка	Russian nesting doll
самовáр	samovar
сувени́р	souvenir
шáпка	"cap, hat"
бáня	bath-house
бéрег (на верегу́)	coast
водá	water
вóздух	air
гриб	mushroom
кáтер	motorboat
костёр	campfire
лес (лесу́)	forest
лóдка	boat
лю́ди (pl.)	people
мéсто (pl. местá)	place
моги́ла	grave
ры́ба	fish
снег	snow
ценá (pl. цéны)	price
черни́ка	blueberry
я́года	berry
другóй	other
котóрый	"who, which, that"
меховóй	fur (adj.)
мнóгие (pl. only)	many
настоя́щий	real
пáрусный	sail (adj.)
свобóдный	free
специáльный	special (adj.)
холóдный	cold (adj.)
бéга|ть (I)	to run
быть	to be
éздить	"to go, to travel by vehicle (round-trip)"
éэдить верхóм	to ride on horseback
катá|ться (I)	"to roll, to ride"
катá|ться (I) на вóдных лы́жах	to water-ski
катá|ться (I) на кáтере	to ride a motorboat
катá|ться (I) на конкáх	to ice-skate
катá|ться (I) на лóдке	to ride in a rowboat
катá|ться (I) на лы́жах	to ski
катá|ться (I) на рóликах	to roller-skate
катá|ться (I) на сноубóрде	to snowboard
купи́ть (II)	to buy (pf.)
лови́ть (I)	to catch
лови́ть (I) ры́бу	to fish
отдыхá|ть (I)	to rest
плáва|ть (I)	to swim
проводи́ть (II)	to spend (time)
разговáрива|ть (I)	to chat
собирá|ть (I)	to collect
умé|ть (I)	"to be able, to know how"
фотографи́р|ова|ть	to take photos
вéсело	fun
нéсколько	"some, a few"
почему́	why
почти	almost
поэ́тому	therefore
прóсто	simply (adv.)
тудá	(to) there
шу́мно	noisy
в прóшлом году́	last year
веснóй	in spring
вчерá	yesterday
дóлго	for a long time
зимóй	in winter
лéтом	in summer
назáд	ago (adv.)
óсенью	in fall
рáньше	"before, earlier"
дáже	even (adv.)
зá город	out of town
мóжно	one can/may; it is possible
так как	because
я устáл(/а)	I was tired
мы устáли	we were tired
*** Chapter 10 (/course/1296376/troika-all-vocab/10/)	
антрополóгия	anthropology
архитекту́ра	architecture
биолóгия	biology
геогрáфия	geography
геомéтрия	geometry
журнали́стика	journalism
истóрия	history
коммуникáция	communication
компьютерная тéхника	computer science
лингви́стика	linguistics
литерату́ра	literature
матемáтика	mathematics
медици́на	medicine
междунарóдные отношéния	international relations
мéнеджмент	management
нау́ка	science
океанолóгия	marine science
письмó	writing
политолóгия	political science
предмéт	subject
психолóгия	psychology
социолóгия	sociology
стати́стика	statistics
стрновéдение	area studies
физкульту́ра	physical education
филолóгия	philology
филосóфия	philosophy
финáнсы	finance
фи́зика	physics
хи́мия	chemistry
чтéние	reading
эконóмика	economics
юриспрудéнция	law
язы́к	language
двóйка	D (a failing grade)
зачёт	credit
контрóльная рабóта	quiz
отмéтка	grade
пятёрка	A (grade)
сéссия	exam period
трóйка	C (grade)
четвёрка	B (grade)
экзáмен	exam
акадéмия	academy
аспиранту́ра	(post) graduate program
вуз (вы́сшее учéбное заведéние)	higher education institution
заня́тие (на)	class session
кáфедра	department
класс	class
консерватóрия	conservatory
