*** July 2017 (/course/1337896/misc-russian-vocab/10/)	
каре́та	carriage
ёж	hedgehog
морско́й ёж	sea urchin
*** August 2017 (/course/1337896/misc-russian-vocab/11/)	
одушевлённый	animate (ling.)
неодушевлённый 	inanimate (ling.)
склоня́ть	to decline (ling.)
мука́	flour
му́ка	"anguish, torture"
флажо́к	pennant
зна́мя	"flag, streamer"
вы́мя	udder
те́мя	tonsure
пла́мя	flame
у́мница	genius
обуче́ние	"instruction, training"
учёба	"studies, learning"
учи́лище	educational institution
заведе́ние	"facility, spot"
вуз	university
вла́жный	humid
у́тка	duck
тигр	tiger
слон	elephant
пра́здновать	to celebrate
зубри́ть	to cram
предпочита́ть	to prefer
я́дерный	nuclear (adj.)
нефть	(crude) oil
скупо́й	stingy
СМИ	mass media
зе́ркало	mirror
стричь	to cut (hair)
и́стинный	"true, actual"
суеве́рие	superstition
предзнаменова́ние	omen
портно́й 	tailor
программи́рование	programming
вари́ть	to boil (food)
благодаря́	thanks to (prep.)
обогатить	to enrich
разви́ть	to develop
зада́ча	(math) problem
изучи́ть	to master (a subject)
заня́ться	to take up (an activity)
го́рдый	proud
*** September 2017 (/course/1337896/misc-russian-vocab/12/)	
байда́рка	"kayak, canoe"
вертолёт	helicopter
электри́чка	short-distance train
автосто́п	hitch-hiking
железнодоро́га	railroad
купе́	compartment
маршру́т	"route, itinerary"
перро́н	(train) platform
шоссе́	highway
авиакомпа́ния	airline
взлёт 	take-off
поса́дка	"boarding, landing"
экипа́ж	crew
га́вань	"harbor, marina"
при́стань	"pier, wharf"
грести́	"to paddle, row"
жечь	to burn
неоднонаправленный	multidirectional
однонаправленный	unidirectional
броди́ть	"to wander, roam, stray"
таска́ть	to drag
ката́ть	to roll
по́лзать	to crawl
гоня́ть	to chase
пар	steam
лу́жа	puddle
го́нка	race
стю́ард	steward
приземля́ться	to (come in to) land
ро́дственник	relative (family member)
яд	"poison, venom"
сбор	"collection, gathering"
собо́р	cathedral
грузови́к	truck
гастроно́м	grocery store
па́мятник	"monument, memorial"
ди́кий	"wild, crazy"
бродя́га	wanderer
рыть	to dig
тюрьма́	"prison, jail"
расстила́ться	to be spread out
сыро́й	"damp, raw"
кандалы́	"chains, shackles"
*** October 2017 (/course/1337896/misc-russian-vocab/13/)	
изба́	cottage
ками́н	fireplace
ло́джия	"balcony, terrace"
перегоро́дка	"partition, wall"
подва́л	"cellar, basement"
прихо́жая/пере́дняя	"entry, foyer"
сану́зел	bathroom
спáльня	bedroom
чердáк	"attic, loft"
чулáн	"closet, pantry"
ве́шалка	(coat) hanger
комóд	dresser
нáволочка	pillowcase
одея́ло	"blanket, cover"
подýшка	pillow
простыня́	(bed)sheet
скáтерть	tablecloth
сунду́к	"chest, box"
ту́мбочка	"nightstand, end table"
вентиля́тор	fan
водопровóд	plumbing
коло́дец	(water) well
пылесо́с	vacuum (cleaner)
посудомóйка	dishwasher
рáковина	(kitchen) sink
суши́лка	dryer
умыва́льник	washbowl
унита́з	restroom (facility)
блю́дце	saucer
бока́л	goblet
кувши́н	"pitcher, jug"
кру́жка	mug
мéльница для перцá	pepper mill
ми́ска	"bowl, dish"
нáбор (чего)	set (of)
поднóс	"tray, platter"
аре́нда	"rent, lease"
комфóртный	comfortable
недви́жимость	"real estate, property"
просто́рный	"spacious, roomy"
ремо́нт	"repair, renovation"
ую́тный	"cozy, homely"
вселя́ться	to move in
выселя́ться	to move out
му́сор	"garbage, trash"
бельё	linen
меня́ть	"to change, exchange"
накрыва́ть	to cover
подмета́ть	to sweep
*** November 2017 (/course/1337896/misc-russian-vocab/14/)	
грýша	pear
ежеви́ка	blackberry (bush)
клубни́ка	strawberry (plant)
клю́ква	cranberry
черéшня	raspberry
баклажáн	eggplant
горо́х	peas
спа́ржа	asparagus
чесно́к	garlic
шпинáт	spinach
теля́тина	veal
